"","Ia",""
"449",2.95035455610781e-05,4.17908898540748e-05
"450",6.78577938777202e-05,9.61180119947869e-05
"451",2.32349514500724e-05,3.29117556155319e-05
"452",3.96752178773337e-05,5.61985759473128e-05
"453",4.31267459212398e-05,6.10875050956861e-05
"454",5.25617163623582e-05,7.4451744033169e-05
"455",5.22392869161697e-05,7.39950345995106e-05
"456",3.23232721684e-05,4.5784886418428e-05
"457",2.65834586792739e-05,3.76547443336901e-05
"458",6.24469462693849e-05,8.8453764859537e-05
"459",4.39501557285749e-05,6.22538356094002e-05
"460",2.64939839574613e-05,3.75280058535333e-05
"461",3.91663474026298e-05,5.54777782807096e-05
"462",1.3623472084353e-05,1.9297707972003e-05
"463",2.06510725314397e-05,2.92518477874708e-05
"464",2.62891238248083e-05,3.72378271001474e-05
"465",3.24985505585707e-05,4.60331627073772e-05
"466",2.93596865946518e-05,4.15871179308476e-05
"467",4.00044673626763e-05,5.66649465344077e-05
"468",2.61761369989242e-05,3.70777843685083e-05
"469",1.84158985159607e-05,2.60858754621128e-05
"470",2.12217252330553e-05,3.00601661946263e-05
"471",4.33297120228527e-05,6.13749993163507e-05
"472",5.66638316465297e-05,8.02622169953269e-05
"473",3.2879844005536e-05,4.65732528032683e-05
"474",2.87978114793591e-05,4.07912386353108e-05
"475",2.02669734382736e-05,2.87077788778881e-05
"476",5.17959990009548e-05,7.33671335916902e-05
"477",2.9067096794857e-05,4.11726732305725e-05
"478",2.95146422954706e-05,4.18066080464465e-05
"479",2.08359752990738e-05,2.95137589562681e-05
"480",3.26089706036938e-05,4.61895692049504e-05
"481",3.61562891401386e-05,5.12141291888454e-05
"482",4.76782747303383e-05,6.75345507145144e-05
"483",3.93853978769228e-05,5.5788055716841e-05
"484",3.61721190673035e-05,5.1236551727222e-05
"485",1.29101031598232e-05,1.8287217761511e-05
"486",1.16617753859872e-05,1.65191097587378e-05
"487",3.55134731089634e-05,5.03036498340192e-05
"488",4.73369237388512e-05,6.70510395389885e-05
"489",6.20530554580805e-05,8.78958333349162e-05
"490",2.65655429437548e-05,3.76293671892237e-05
"491",4.74933747264374e-05,6.72726466412661e-05
"492",1.31681861822225e-05,1.86527934947041e-05
"493",4.35685730660144e-05,6.17133374356062e-05
"494",3.21338659916535e-05,4.55165985681274e-05
"495",4.04625562546671e-06,5.73202903934701e-06
"496",4.75539784169599e-05,6.73584895522971e-05
"497",2.92633926856979e-05,4.14507204888914e-05
"498",4.75473320916425e-05,6.73490752755821e-05
"499",2.91252235015545e-05,4.1255007972084e-05
"500",4.35281444177129e-05,6.16560717022874e-05
"501",3.22510976293639e-05,4.56826534697552e-05
"502",3.59561011886238e-05,5.09306178191634e-05
"503",4.77964958047488e-05,6.77020065212827e-05
"504",3.24768552696415e-05,4.60024320176103e-05
"505",2.31278216809833e-05,3.2760008871878e-05
"506",1.80026969035798e-05,2.55005808840953e-05
"507",5.19752896310548e-05,7.36210921674818e-05
"508",3.57972605799665e-05,5.07056253678906e-05
"509",2.09577755684593e-05,2.96862866606184e-05
"510",4.7571478297543e-05,6.73832774918146e-05
"511",7.34860105125931e-05,0.000104090155654973
"512",4.3731710644678e-05,6.19444159762834e-05
"513",4.38322216806185e-05,6.208678626045e-05
"514",3.23535803440167e-05,4.58278169893272e-05
"515",3.63076553075425e-05,5.1428582536074e-05
"516",2.95213672537399e-05,4.18161337486963e-05
"517",3.63678907113843e-05,5.15139039772045e-05
"518",2.90331542520094e-05,4.11245946338254e-05
"519",3.61848399170466e-05,5.12545703661082e-05
"520",2.08496272329426e-05,2.95330966543369e-05
"521",4.30739072161795e-05,6.10126609603509e-05
"522",2.93211798833464e-05,4.15325743259899e-05
"523",4.3566063633403e-05,6.170978291413e-05
"524",2.95999242487489e-05,4.19274073825425e-05
"525",3.2675216717819e-05,4.62834047281616e-05
"526",5.68783176187219e-05,8.05660283846931e-05
"527",3.29925485231277e-05,4.67328951850415e-05
"528",2.08845869546647e-05,2.95826164181081e-05
"529",2.59884179587908e-05,3.68118855100813e-05
"530",3.20213662614644e-05,4.53572462639598e-05
"531",4.78257576940975e-05,6.77434549118866e-05
"532",2.09233129344693e-05,2.96374710125973e-05
"533",3.22445425610807e-05,4.56733684231475e-05
"534",3.9162009620796e-05,5.54716339624803e-05
"535",1.78241314062061e-05,2.52476452237264e-05
"536",4.31832887037158e-05,6.11675959240599e-05
"537",2.92777989168569e-05,4.14711264844489e-05
"538",2.05209943810191e-05,2.9067594616124e-05
"539",2.6265843001789e-05,3.72048504545997e-05
"540",3.59900618555794e-05,5.09786740780398e-05
"541",3.63551355385328e-05,5.1495836700142e-05
"542",2.90992635307751e-05,4.12182364499177e-05
"543",2.65695679098542e-05,3.76350684425214e-05
"544",3.2452043530768e-05,4.5967286975199e-05
"545",2.03869555997284e-05,2.88777312840972e-05
"546",3.27353994868781e-05,4.63686517151758e-05
"547",3.998650868897e-05,5.66395086969096e-05
"548",2.64886956080456e-05,3.75205150520395e-05
"549",6.74111629864671e-05,9.54853762457648e-05
"550",2.89706505640336e-05,4.10360600292484e-05
"551",2.66252820353956e-05,3.77139859622428e-05
"552",3.57132776370282e-05,5.05866663163539e-05
"553",4.75810889524706e-05,6.73968906313992e-05
"554",3.62792898189459e-05,5.13884037673017e-05
"555",1.81645840829477e-05,2.57298919209419e-05
"556",4.30949582655813e-05,6.10424790187071e-05
"557",6.78235311370236e-05,9.60694801199222e-05
"558",2.37571251055301e-05,3.36514020477112e-05
"559",3.93309570545226e-05,5.5710942170828e-05
